id,affiliateid,sourceid,clientid,link,product,clicks,actions,conversions,leads,impressions,revenue,actioncost,networkcost,totalcost,costperclick,clickthroughrate,conversionrate,earningsperhundredclicks,returnofinvestment,costperaction,actiondate
296384,35,1,11,www.flexoffers.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296400,224,1,12,www.media.net,,23,23,0,0,23,0,0,0,0,0,0,0,0,0,0,10:56.4
296416,17,1,12,slickdeals.net/,,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,10:56.4
296432,246,1,12,www.thendeals.com,,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10:56.4
296448,280,1,12,www.planetgoldilocks.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
296464,233,1,12,bestmealreplacementshakesguide.com/,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
296480,253,1,12,ant-vertising.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
296496,43,1,12,www.couponcabin.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296512,243,1,12,www.sleep-apnea-guide.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296528,2,1,12,digidip.net,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296544,8,1,12,www.brandreward.com/,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296560,230,1,12,www.thedeepsleepco.com/,,1,1,1,0,1,69.95,10.49,2.1,10.49,10.49,0,100,1049,5.67,10.49,10:56.4
296576,308,1,12,www.sleepassociation.org/,,0,0,1,0,0,62.96,0,2.8,14,0,0,0,0,3.5,0,10:56.4
296592,23,1,13,www.thecouponscoop.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
296608,24,1,13,www.befrugal.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296624,2,1,13,digidip.net,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296640,313,1,14,www.autoprofitincome,,31,31,0,0,31,0,0,0,0,0,0,0,0,0,0,10:56.4
296656,16,1,14,www.retailmenot.com,,12,12,0,0,12,0,0,0,0,0,0,0,0,0,0,10:56.4
296672,18,1,14,www.ebates.com,,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,10:56.4
296688,23,1,14,www.thecouponscoop.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
296704,198,1,14,sleep-media.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
296720,153,1,14,www.couponchief.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296736,26,1,14,www.mypoints.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296752,25,1,14,www.rebatesme.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296768,1,1,14,www.hotdeals.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296784,206,1,14,www.instylewoman.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296800,12,1,16,skimlinks.com,,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,10:56.4
296816,17,1,16,slickdeals.net/,,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10:56.4
296832,134,1,16,www.mrrebates.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296848,4,1,16,www.viglink.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296864,25,1,16,www.rebatesme.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296880,5,1,16,www.anycodes.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296896,577,1,16,savingzoffer.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296912,20,1,19,www.joinhoney.com,,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10:56.4
296928,123,1,19,marketamerica.com and www.shop.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296944,6,1,20,yieldkit.com,,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,10:56.4
296960,123,1,20,marketamerica.com and www.shop.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296964,16,1,2,www.retailmenot.com,,11,11,0,0,11,0,0,0,0,0,0,0,0,0,0,10:56.4
296980,19,1,2,offers.com,,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,10:56.4
296996,31,1,2,www.topcashback.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
305292,328,1,15,www.diydoggrooming.com,,12,12,0,0,12,0,0,0,0,0,0,0,0,0,0,38:35.8
305308,21,1,15,coupons.com,,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,38:35.8
305324,2,1,15,digidip.net,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,38:35.8
305340,65,1,15,www.freeshipping.org,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305356,49,1,15,www.swagbucks.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305372,1,1,15,www.hotdeals.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305388,355,1,15,dogzgroomingequipment.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305404,16,1,3,www.retailmenot.com,,54,54,5,0,54,89.39,0.25,2.68,13.42,0.25,0,9.26,24.85,5.66,0.25,38:35.8
305420,4,1,3,www.viglink.com,,11,11,1,0,11,7,0.1,0.21,1.05,0.1,0,9.09,9.55,5.67,0.1,38:35.8
305436,364,1,3,www.internet-superstore.net,,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,38:35.8
305452,366,1,3,www.bfenvironmental.com,,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,38:35.8
305468,37,1,3,www.couponare.net/,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,38:35.8
305484,1040,1,3,buynowpayless.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305500,372,1,3,www.shoppersbriefer.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305516,388,1,3,www.entrepreneursclass.com/,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305532,360,1,3,savemoremarketing.com,,1,1,1,0,1,20,3,0.6,3,3,0,100,300,5.67,3,38:35.8
305548,8,1,3,www.brandreward.com/,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305564,363,1,3,bartendinglicensehelp.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305580,400,1,3,www.usajacket.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305596,357,1,3,luckyhuntermarketing.com,,0,0,1,0,0,151.2,0,4.54,22.68,0,0,0,0,5.67,0,38:35.8
305612,19,1,4,offers.com,,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,38:35.8
305628,443,1,4,www.babymozart.org/blog,,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,38:35.8
305644,440,1,4,www.thefitnesskey.com,,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,38:35.8
305660,2,1,4,digidip.net,,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,38:35.8
305676,21,1,4,coupons.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,38:35.8
305692,45,1,4,www.extrabux.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305708,30,1,4,knoji.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305724,469,1,4,MamaBananasAdventures.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305740,763,1,4,mypointsaver.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305756,450,1,4,www.zistboon.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305772,1043,1,4,www.facebook.com/Saleaholiccoupons/,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305788,179,1,4,harmonycollective.us,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305804,505,1,4,yogigoals.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305820,180,1,5,www.lagoja.ch,,12,12,0,0,12,0,0,0,0,0,0,0,0,0,0,38:35.8
305836,507,1,5,www.siteplug.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,38:35.8
305852,52,1,5,puzzlebraingames.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,38:35.8
305868,19,1,5,offers.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305884,511,1,5,www.rewardstyle.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305900,750,1,5,gardenblog.info,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305916,1,1,5,www.hotdeals.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
305932,528,1,6,patsloan.com,,13,13,0,0,13,0,0,0,0,0,0,0,0,0,0,38:35.8
305948,17,1,6,slickdeals.net/,,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,38:35.8
305964,20,1,6,www.joinhoney.com,,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,38:35.8
305980,155,1,6,www.wickfire.com,,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,38:35.8
305996,12,1,6,skimlinks.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,38:35.8
306012,35,1,6,www.flexoffers.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,38:35.8
306028,24,1,6,www.befrugal.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
306044,550,1,6,quiltersresources.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
306060,25,1,6,www.rebatesme.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
306076,815,1,6,www.sewmuchmoore.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
306092,543,1,6,www.charmedbyashley.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38:35.8
297012,24,1,2,www.befrugal.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
297028,904,1,2,www.savingcouponz.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
297044,17,1,9,slickdeals.net/,,13,13,0,0,13,0,0,0,0,0,0,0,0,0,0,10:56.4
297060,115,1,9,elemental.green,,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,10:56.4
297076,142,1,9,Www.agreenslate.com,,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10:56.4
297092,130,1,9,gentlenursery.com,,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,10:56.4
297108,18,1,9,www.ebates.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
